Dove;Regione;Elettori;Votanti;%;Schede nulle;Schede bianche;Schede contestate;Coalizioni e liste;Voti;%;Seggi;Candidati uninominali eletti;Totale
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;301720;48,31;1;1;2
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;FRATELLI D'ITALIA CON GIORGIA MELONI;170181;27,25;1;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;FORZA ITALIA;75767;12,13;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;LEGA PER SALVINI PREMIER;51685;8,28;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;4087;0,65;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;133448;21,37;1;;1
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;100829;16,14;1;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ALLEANZA VERDI E SINISTRA;16441;2,63;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;PIUEUROPA;12213;1,96;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;3965;0,63;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;MOVIMENTO 5 STELLE;116909;18,72;1;;1
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;AZIONE  ITALIA VIVA  CALENDA;38006;6,09;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ITALEXIT PER L'ITALIA;11977;1,92;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;UNIONE POPOLARE CON DE MAGISTRIS;10175;1,63;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ITALIA SOVRANA E POPOLARE;7875;1,26;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;VITA;2798;0,45;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;1649;0,26;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;88277;36,1;1;1;2
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;FRATELLI D'ITALIA CON GIORGIA MELONI;46716;19,1;1;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;FORZA ITALIA;21983;8,99;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;LEGA PER SALVINI PREMIER;17471;7,14;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;2107;0,86;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;MOVIMENTO 5 STELLE;59560;24,36;1;;1
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;53267;21,78;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;39557;16,18;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;ALLEANZA VERDI E SINISTRA;6725;2,75;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PIUEUROPA;4905;2,01;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;2080;0,85;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;AZIONE  ITALIA VIVA  CALENDA;30006;12,27;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;UNIONE POPOLARE CON DE MAGISTRIS;3856;1,58;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;ITALEXIT PER L'ITALIA;3557;1,45;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;ITALIA SOVRANA E POPOLARE;2855;1,17;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PARTITO COMUNISTA ITALIANO;2290;0,94;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;MASTELLA NOI DI CENTRO EUROPEISTI;880;0,36;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;299180;41,67;2;2;4
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FRATELLI D'ITALIA CON GIORGIA MELONI;136403;19;1;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FORZA ITALIA;115502;16,09;1;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;LEGA PER SALVINI PREMIER;41357;5,76;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;5918;0,82;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;MOVIMENTO 5 STELLE;211525;29,46;1;;1
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;128891;17,95;1;;1
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;105131;14,64;1;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ALLEANZA VERDI E SINISTRA;10741;1,5;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PIUEUROPA;8017;1,12;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;5002;0,7;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;AZIONE  ITALIA VIVA  CALENDA;28508;3,97;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;UNIONE POPOLARE CON DE MAGISTRIS;14729;2,05;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ITALEXIT PER L'ITALIA;9778;1,36;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ITALIA SOVRANA E POPOLARE;9554;1,33;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO COMUNISTA ITALIANO;5194;0,72;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;SUD CHIAMA NORD;2894;0,4;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;2176;0,3;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO ANIMALISTA  UCDL  10 VOLTE MEGLIO;2067;0,29;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;VITA;1437;0,2;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;MASTELLA NOI DI CENTRO EUROPEISTI;1084;0,15;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FORZA DEL POPOLO;873;0,12;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;MOVIMENTO 5 STELLE;797815;34,67;4;4;8
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;764825;33,24;4;3;7
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;FRATELLI D'ITALIA CON GIORGIA MELONI;412491;17,93;2;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;FORZA ITALIA;245062;10,65;1;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;LEGA PER SALVINI PREMIER;93997;4,09;1;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;13275;0,58;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;511682;22,24;2;;2
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;365388;15,88;2;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;ALLEANZA VERDI E SINISTRA;62043;2,7;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;PIUEUROPA;49764;2,16;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;34487;1,5;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;AZIONE  ITALIA VIVA  CALENDA;121336;5,27;1;;1
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;UNIONE POPOLARE CON DE MAGISTRIS;45052;1,96;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;ITALEXIT PER L'ITALIA;32482;1,41;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;MASTELLA NOI DI CENTRO EUROPEISTI;27756;1,21;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;896583;38,9;4;3;7
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;FRATELLI D'ITALIA CON GIORGIA MELONI;575512;24,97;3;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;LEGA PER SALVINI PREMIER;178248;7,73;1;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;FORZA ITALIA;129868;5,63;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;12955;0,56;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;826377;35,85;3;2;5
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;638821;27,72;3;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;ALLEANZA VERDI E SINISTRA;104101;4,52;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;PIUEUROPA;76140;3,3;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;7315;0,32;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;MOVIMENTO 5 STELLE;230540;10;1;;1
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;AZIONE  ITALIA VIVA  CALENDA;195451;8,48;1;;1
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;ITALEXIT PER L'ITALIA;44219;1,92;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;UNIONE POPOLARE CON DE MAGISTRIS;32556;1,41;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;ITALIA SOVRANA E POPOLARE;28346;1,23;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;VITA;25464;1,1;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;PARTITO ANIMALISTA  UCDL  10 VOLTE MEGLIO;14890;0,65;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;6231;0,27;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;DESTRE UNITE;2412;0,1;;;
SENATO;EMILIAROMAGNA;3328327;2395342;71,97;57518;32687;222;MASTELLA NOI DI CENTRO EUROPEISTI;1846;0,08;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;298272;50,34;2;1;3
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;FRATELLI D'ITALIA CON GIORGIA MELONI;191331;32,29;1;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;LEGA PER SALVINI PREMIER;64525;10,89;1;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;FORZA ITALIA;37761;6,37;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;4655;0,79;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;153930;25,98;1;;1
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;109367;18,46;1;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;ALLEANZA VERDI E SINISTRA;22271;3,76;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;PIUEUROPA;20031;3,38;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;2261;0,38;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;AZIONE  ITALIA VIVA  CALENDA;48767;8,23;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;MOVIMENTO 5 STELLE;43778;7,39;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;ITALEXIT PER L'ITALIA;17925;3,03;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;ITALIA SOVRANA E POPOLARE;10883;1,84;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;VITA;8908;1,5;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;UNIONE POPOLARE CON DE MAGISTRIS;6891;1,16;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;2386;0,4;;;
SENATO;FRIULIVENEZIA GIULIA;936273;619935;66,21;19454;7922;76;MASTELLA NOI DI CENTRO EUROPEISTI;743;0,13;;;
SENATO;LAZIO;4351194;;;;;;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;1213838;44,82;6;6;12
SENATO;LAZIO;4351194;;;;;;FRATELLI D'ITALIA CON GIORGIA MELONI;851348;31,44;4;;
SENATO;LAZIO;4351194;;;;;;FORZA ITALIA;186091;6,87;1;;
SENATO;LAZIO;4351194;;;;;;LEGA PER SALVINI PREMIER;165322;6,11;1;;
SENATO;LAZIO;4351194;;;;;;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;11077;0,41;;;
SENATO;LAZIO;4351194;;;;;;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;707379;26,12;3;;3
SENATO;LAZIO;4351194;;;;;;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;496104;18,32;2;;
SENATO;LAZIO;4351194;;;;;;ALLEANZA VERDI E SINISTRA;105334;3,89;1;;
SENATO;LAZIO;4351194;;;;;;PIUEUROPA;90210;3,33;;;
SENATO;LAZIO;4351194;;;;;;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;15731;0,58;;;
SENATO;LAZIO;4351194;;;;;;MOVIMENTO 5 STELLE;400825;14,8;2;;2
SENATO;LAZIO;4351194;;;;;;AZIONE  ITALIA VIVA  CALENDA;231295;8,54;1;;1
SENATO;LAZIO;4351194;;;;;;ITALEXIT PER L'ITALIA;42658;1,58;;;
SENATO;LAZIO;4351194;;;;;;UNIONE POPOLARE CON DE MAGISTRIS;42115;1,56;;;
SENATO;LAZIO;4351194;;;;;;ITALIA SOVRANA E POPOLARE;33748;1,25;;;
SENATO;LAZIO;4351194;;;;;;PARTITO COMUNISTA ITALIANO;17950;0,66;;;
SENATO;LAZIO;4351194;;;;;;VITA;12975;0,48;;;
SENATO;LAZIO;4351194;;;;;;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;5171;0,19;;;
SENATO;LIGURIA;1195266;;;;;;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;310754;42,32;1;2;3
SENATO;LIGURIA;1195266;;;;;;FRATELLI D'ITALIA CON GIORGIA MELONI;178390;24,29;1;;
SENATO;LIGURIA;1195266;;;;;;LEGA PER SALVINI PREMIER;64116;8,73;;;
SENATO;LIGURIA;1195266;;;;;;FORZA ITALIA;49273;6,71;;;
SENATO;LIGURIA;1195266;;;;;;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;18975;2,58;;;
SENATO;LIGURIA;1195266;;;;;;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;222348;30,28;1;;1
SENATO;LIGURIA;1195266;;;;;;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;163634;22,28;1;;
SENATO;LIGURIA;1195266;;;;;;ALLEANZA VERDI E SINISTRA;30665;4,18;;;
SENATO;LIGURIA;1195266;;;;;;PIUEUROPA;24643;3,36;;;
SENATO;LIGURIA;1195266;;;;;;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;3406;0,46;;;
SENATO;LIGURIA;1195266;;;;;;MOVIMENTO 5 STELLE;94867;12,92;1;;1
SENATO;LIGURIA;1195266;;;;;;AZIONE  ITALIA VIVA  CALENDA;53453;7,28;;;
SENATO;LIGURIA;1195266;;;;;;ITALEXIT PER L'ITALIA;18896;2,57;;;
SENATO;LIGURIA;1195266;;;;;;ITALIA SOVRANA E POPOLARE;11625;1,58;;;
SENATO;LIGURIA;1195266;;;;;;UNIONE POPOLARE CON DE MAGISTRIS;11313;1,54;;;
SENATO;LIGURIA;1195266;;;;;;VITA;5938;0,81;;;
SENATO;LIGURIA;1195266;;;;;;PARTITO COMUNISTA DEI LAVORATORI;4484;0,61;;;
SENATO;LIGURIA;1195266;;;;;;MASTELLA NOI DI CENTRO EUROPEISTI;659;0,09;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;2549503;50,4;10;10;20
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;FRATELLI D'ITALIA CON GIORGIA MELONI;1395965;27,59;5;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;LEGA PER SALVINI PREMIER;701384;13,86;3;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;FORZA ITALIA;401127;7,93;2;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;51027;1,01;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;1373145;27,14;6;1;7
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;971846;19,21;5;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;ALLEANZA VERDI E SINISTRA;193123;3,82;1;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;PIUEUROPA;189948;3,75;;;
